,x_input
80,"[0.89999998, 0.69999993, 0.79999995, 0.69999993, 0.79999995, 0.5999999, 0.69999993, 0.69999993, 0.79999995, 0.79999995, 0.79999995, 0.69999993, 0.69999993, 0.79999995, 0.69999993, 0.5999999]"
81,"[0.89999998, 0.69999993, 0.79999995, 0.79999995, 0.89999998, 0.5999999, 0.69999993, 0.69999993, 0.79999995, 0.79999995, 0.79999995, 0.5999999, 0.5999999, 0.79999995, 0.79999995, 0.5999999]"
82,"[0.79999995, 0.69999993, 0.79999995, 0.99999988, 1.39999986, 0.5999999, 0.69999993, 0.69999993, 0.89999998, 0.79999995, 0.79999995, 0.69999993, 0.5999999, 0.79999995, 0.79999995, 0.69999993]"
83,"[0.79999995, 0.69999993, 0.79999995, 0.99999988, 1.79999995, 0.69999993, 0.69999993, 0.79999995, 0.79999995, 0.89999998, 0.89999998, 0.79999995, 0.79999995, 1.20000005, 0.89999998, 0.69999993]"
84,"[0.99999988, 0.69999993, 0.79999995, 0.99999988, 1.79999995, 0.79999995, 0.69999993, 0.69999993, 0.99999988, 0.89999998, 0.89999998, 0.79999995, 0.79999995, 1.5, 0.89999998, 0.89999998]"
85,"[1.0999999, 0.79999995, 0.89999998, 0.99999988, 1.70000005, 0.89999998, 0.79999995, 0.79999995, 0.99999988, 0.99999988, 0.89999998, 0.89999998, 0.89999998, 1.5999999, 0.99999988, 1.0999999]"
86,"[1.0999999, 0.89999998, 0.99999988, 1.0999999, 2.0, 1.20000005, 0.89999998, 0.79999995, 1.0999999, 0.99999988, 1.0999999, 0.79999995, 0.89999998, 0.89999998, 1.20000005, 1.39999986]"
87,"[1.0999999, 0.99999988, 0.99999988, 0.89999998, 1.70000005, 1.0999999, 0.99999988, 0.99999988, 1.0999999, 0.99999988, 0.99999988, 0.79999995, 0.69999993, 0.69999993, 1.39999986, 1.29999995]"
88,"[0.99999988, 0.89999998, 0.89999998, 0.89999998, 1.39999986, 1.20000005, 0.89999998, 0.99999988, 0.99999988, 1.20000005, 0.99999988, 0.79999995, 0.79999995, 0.79999995, 1.0999999, 1.0999999]"
89,"[0.89999998, 0.89999998, 0.89999998, 0.99999988, 1.0999999, 0.99999988, 0.89999998, 0.99999988, 0.99999988, 1.0999999, 0.99999988, 0.89999998, 0.89999998, 0.89999998, 0.99999988, 0.99999988]"
90,"[1.0999999, 1.0999999, 0.99999988, 1.20000005, 1.20000005, 1.0999999, 0.99999988, 1.0999999, 1.0999999, 1.0999999, 0.89999998, 0.89999998, 0.99999988, 0.99999988, 1.0999999, 0.99999988]"
