,x_input
27,"[16.07157898, 18.55061531, 19.68270874, 16.42340088, 16.07157898, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 15.50184059, 14.35023308, 18.13277435, 14.35023308, 15.50184059, 16.07157898, 15.50184059, 15.50184059, 15.50184059, 17.54592705, 15.50184059, 15.50184059, 16.92640877, 11.13674736, 14.35023308, 14.35023308]"
28,"[16.42340088, 14.35023308, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 14.35023308, 11.13674736, 15.50184059, 11.13674736, 14.35023308, 16.92640877, 15.50184059, 15.50184059, 15.50184059, 14.35023308, 14.35023308, 14.35023308]"
29,"[18.40847969, 17.22476578, 17.85599136, 16.07157898, 17.22476578, 15.50184059, 15.50184059, 11.13674736, 15.50184059, 16.07157898, 15.50184059, 16.07157898, 15.50184059, 14.35023308, 15.50184059, 15.50184059, 14.35023308, 15.50184059, 16.92640877, 16.07157898, 9.62036705, 16.42340088, 14.35023308, 14.35023308, 14.35023308]"
30,"[16.42340088, 21.14830399, 18.82203674, 19.39068031, 20.2694912, 17.85599136, 16.07157898, 14.35023308, 16.92640877, 16.92640877, 16.07157898, 16.92640877, 16.42340088, 15.50184059, 17.54592705, 17.54592705, 18.13277435, 16.42340088, 17.85599136, 18.55061531, 17.85599136, 9.62036705, 15.50184059, 15.50184059, 15.50184059]"
31,"[20.2694912, 22.48814392, 19.39068031, 23.25364685, 21.14830399, 19.39068031, 9.62036705, 16.07157898, 18.13277435, 18.13277435, 9.62036705, 17.54592705, 17.22476578, 16.42340088, 18.40847969, 18.13277435, 19.98046494, 18.40847969, 18.13277435, 20.2694912, 19.39068031, 19.98046494, 17.22476578, 16.42340088, 17.22476578]"
32,"[21.49539566, 22.13050461, 19.98046494, 21.8074646, 19.98046494, 18.13277435, 20.2694912, 9.62036705, 22.48814392, 18.13277435, 18.40847969, 18.40847969, 18.40847969, 17.85599136, 19.10808182, 19.98046494, 19.10808182, 19.98046494, 18.40847969, 20.2694912, 19.10808182, 21.14830399, 19.39068031, 18.40847969, 17.85599136]"
33,"[21.14830399, 20.83813477, 18.55061531, 22.85423088, 20.83813477, 19.98046494, 18.82203674, 18.40847969, 21.14830399, 19.10808182, 20.2694912, 20.54864311, 19.98046494, 19.39068031, 21.14830399, 23.25364685, 20.83813477, 21.8074646, 19.39068031, 9.62036705, 19.98046494, 19.68270874, 18.82203674, 19.68270874, 19.10808182]"
34,"[21.14830399, 21.49539566, 19.39068031, 23.67345047, 21.14830399, 9.62036705, 19.10808182, 17.85599136, 21.49539566, 20.54864311, 20.2694912, 23.25364685, 24.54292679, 19.39068031, 22.85423088, 25.30177879, 23.67345047, 22.48814392, 20.83813477, 33.59397888, 22.48814392, 21.14830399, 19.39068031, 19.39068031, 18.55061531]"
35,"[21.8074646, 22.48814392, 20.83813477, 25.03480911, 22.48814392, 20.83813477, 20.54864311, 18.82203674, 21.49539566, 20.2694912, 22.48814392, 25.03480911, 25.03480911, 21.49539566, 22.13050461, 24.54292679, 22.13050461, 20.83813477, 21.14830399, 21.49539566, 21.49539566, 21.8074646, 18.55061531, 20.54864311, 19.68270874]"
36,"[22.48814392, 24.54292679, 20.83813477, 25.30177879, 22.85423088, 20.54864311, 21.14830399, 19.68270874, 22.13050461, 21.49539566, 21.8074646, 25.86476898, 25.30177879, 21.8074646, 21.49539566, 24.08553505, 20.83813477, 20.2694912, 19.98046494, 20.54864311, 20.2694912, 21.14830399, 19.39068031, 20.54864311, 19.98046494]"
37,"[20.54864311, 22.13050461, 9.62036705, 23.25364685, 20.83813477, 18.82203674, 20.2694912, 19.98046494, 22.13050461, 20.83813477, 21.49539566, 25.86476898, 25.30177879, 21.14830399, 20.83813477, 23.25364685, 20.54864311, 19.68270874, 19.68270874, 19.39068031, 19.98046494, 20.2694912, 18.82203674, 18.82203674, 20.2694912]"
38,"[18.13277435, 19.68270874, 17.22476578, 20.2694912, 18.82203674, 17.54592705, 17.85599136, 17.85599136, 19.68270874, 19.39068031, 19.10808182, 20.83813477, 23.67345047, 19.98046494, 19.39068031, 19.68270874, 18.82203674, 9.62036705, 18.82203674, 19.10808182, 18.82203674, 19.98046494, 17.54592705, 16.42340088, 17.54592705]"
39,"[17.22476578, 18.13277435, 17.54592705, 18.13277435, 17.54592705, 16.92640877, 17.54592705, 16.92640877, 18.40847969, 17.22476578, 17.22476578, 19.10808182, 22.13050461, 19.68270874, 9.62036705, 16.42340088, 16.07157898, 15.50184059, 18.13277435, 18.40847969, 17.54592705, 19.68270874, 9.62036705, 16.92640877, 17.54592705]"
40,"[16.42340088, 17.22476578, 15.50184059, 16.42340088, 16.42340088, 14.35023308, 16.92640877, 16.07157898, 17.54592705, 16.92640877, 16.07157898, 18.55061531, 19.39068031, 9.62036705, 16.07157898, 14.35023308, 14.35023308, 14.35023308, 9.62036705, 15.50184059, 16.42340088, 16.42340088, 9.62036705, 17.54592705, 17.22476578]"
41,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 15.50184059, 15.50184059, 16.07157898, 14.35023308, 16.07157898, 15.50184059, 15.50184059, 19.39068031, 19.10808182, 14.35023308, 11.13674736, 15.50184059, 14.35023308, 11.13674736, 16.92640877, 15.50184059, 15.50184059, 14.35023308, 16.07157898, 15.50184059, 15.50184059]"
42,"[14.35023308, 14.35023308, 14.35023308, 16.07157898, 15.50184059, 15.50184059, 16.07157898, 14.35023308, 15.50184059, 14.35023308, 16.07157898, 18.82203674, 18.82203674, 15.50184059, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 9.62036705, 14.35023308, 15.50184059, 15.50184059, 16.07157898, 14.35023308, 14.35023308]"
43,"[15.50184059, 14.35023308, 16.92640877, 9.62036705, 16.42340088, 14.35023308, 9.62036705, 15.50184059, 16.42340088, 14.35023308, 16.92640877, 18.82203674, 18.55061531, 17.22476578, 17.22476578, 17.22476578, 16.42340088, 14.35023308, 9.62036705, 15.50184059, 16.92640877, 16.42340088, 16.07157898, 14.35023308, 15.50184059]"
44,"[19.98046494, 18.82203674, 17.22476578, 17.85599136, 18.13277435, 14.35023308, 17.54592705, 15.50184059, 17.22476578, 16.07157898, 15.50184059, 19.68270874, 15.50184059, 17.22476578, 17.22476578, 17.85599136, 17.54592705, 9.62036705, 17.85599136, 9.62036705, 18.82203674, 16.92640877, 17.54592705, 16.42340088, 14.35023308]"
45,"[17.22476578, 17.54592705, 9.62036705, 18.13277435, 16.42340088, 15.50184059, 17.54592705, 11.13674736, 17.22476578, 14.35023308, 9.62036705, 21.14830399, 17.22476578, 20.2694912, 9.62036705, 17.54592705, 15.50184059, 16.07157898, 17.22476578, 17.54592705, 17.22476578, 16.42340088, 16.92640877, 15.50184059, 14.35023308]"
46,"[16.92640877, 16.92640877, 16.07157898, 18.55061531, 17.22476578, 15.50184059, 18.13277435, 11.13674736, 16.42340088, 17.54592705, 18.40847969, 19.98046494, 17.85599136, 16.92640877, 16.42340088, 16.42340088, 18.40847969, 15.50184059, 18.40847969, 16.42340088, 17.54592705, 17.22476578, 16.07157898, 14.35023308, 15.50184059]"
47,"[14.35023308, 16.42340088, 14.35023308, 18.40847969, 16.92640877, 16.42340088, 16.92640877, 14.35023308, 17.22476578, 19.68270874, 18.13277435, 18.82203674, 20.83813477, 15.50184059, 18.13277435, 18.55061531, 17.85599136, 15.50184059, 16.92640877, 16.42340088, 16.92640877, 17.54592705, 14.35023308, 14.35023308, 14.35023308]"
48,"[16.07157898, 15.50184059, 14.35023308, 17.85599136, 16.07157898, 15.50184059, 16.92640877, 11.13674736, 16.07157898, 18.13277435, 16.92640877, 19.39068031, 18.55061531, 14.35023308, 17.85599136, 16.42340088, 19.10808182, 14.35023308, 17.22476578, 16.07157898, 17.85599136, 17.22476578, 14.35023308, 14.35023308, 14.35023308]"
49,"[9.62036705, 16.42340088, 14.35023308, 16.92640877, 9.62036705, 16.07157898, 16.42340088, 11.13674736, 14.35023308, 15.50184059, 16.07157898, 18.82203674, 17.85599136, 14.35023308, 15.50184059, 16.07157898, 9.62036705, 15.50184059, 16.92640877, 16.92640877, 16.92640877, 17.22476578, 14.35023308, 14.35023308, 14.35023308]"
50,"[14.35023308, 14.35023308, 11.13674736, 16.07157898, 16.07157898, 14.35023308, 14.35023308, 11.13674736, 14.35023308, 14.35023308, 14.35023308, 17.54592705, 15.50184059, 14.35023308, 11.13674736, 14.35023308, 11.13674736, 11.13674736, 16.92640877, 14.35023308, 15.50184059, 14.35023308, 14.35023308, 14.35023308, 14.35023308]"
51,"[14.35023308, 14.35023308, 14.35023308, 16.42340088, 16.07157898, 14.35023308, 15.50184059, 11.13674736, 15.50184059, 15.50184059, 15.50184059, 17.85599136, 15.50184059, 14.35023308, 15.50184059, 15.50184059, 15.50184059, 14.35023308, 16.92640877, 16.07157898, 15.50184059, 15.50184059, 15.50184059, 15.50184059, 14.35023308]"
52,"[16.07157898, 17.85599136, 16.07157898, 16.42340088, 19.98046494, 16.07157898, 16.07157898, 14.35023308, 16.92640877, 17.22476578, 16.42340088, 9.62036705, 16.42340088, 16.07157898, 16.42340088, 9.62036705, 17.54592705, 15.50184059, 9.62036705, 9.62036705, 9.62036705, 16.42340088, 15.50184059, 16.07157898, 16.07157898]"
53,"[16.07157898, 18.13277435, 16.42340088, 18.13277435, 18.13277435, 18.40847969, 16.42340088, 15.50184059, 16.92640877, 17.22476578, 9.62036705, 17.22476578, 17.22476578, 9.62036705, 17.54592705, 17.22476578, 18.55061531, 17.54592705, 17.54592705, 17.85599136, 18.13277435, 18.13277435, 16.07157898, 16.42340088, 16.92640877]"
54,"[17.54592705, 18.55061531, 18.13277435, 19.68270874, 19.98046494, 17.54592705, 17.22476578, 16.07157898, 17.22476578, 17.54592705, 16.92640877, 17.85599136, 18.13277435, 17.85599136, 18.55061531, 18.55061531, 19.10808182, 18.55061531, 18.13277435, 18.55061531, 18.82203674, 18.82203674, 17.22476578, 16.92640877, 9.62036705]"
55,"[20.54864311, 19.39068031, 18.82203674, 20.2694912, 19.39068031, 18.13277435, 18.82203674, 16.42340088, 18.55061531, 9.62036705, 16.42340088, 17.85599136, 17.85599136, 18.40847969, 19.98046494, 21.14830399, 20.54864311, 20.54864311, 17.85599136, 20.2694912, 20.2694912, 18.55061531, 17.54592705, 9.62036705, 9.62036705]"
