,name_road,oldname_road,points
42,42,4669,"[(30.66503017, 104.0824686), (30.66585121, 104.0810256)]"
43,43,4670,"[(30.66658936, 104.0792781), (30.66585121, 104.0810256)]"
44,44,4809,"[(30.66323476, 104.0814139), (30.66389343, 104.0798131)]"
45,45,4965,"[(30.65950096, 104.0821018), (30.66130424, 104.0827159)]"
46,46,4966,"[(30.66231551, 104.0833203), (30.66130424, 104.0827159)]"
47,47,4991,"[(30.66658936, 104.0792781), (30.66813158, 104.0802769)]"
48,48,4992,"[(30.66728632, 104.0819461), (30.66813158, 104.0802769)]"
49,49,4993,"[(30.66903116, 104.0784525), (30.66813158, 104.0802769)]"
50,50,4994,"[(30.66967255, 104.0811962), (30.66813158, 104.0802769)]"
51,51,5210,"[(30.66501226, 104.0867203), (30.66809939, 104.0885456)]"
52,52,5211,"[(30.66959784, 104.0854869), (30.66809939, 104.0885456)]"
53,53,5296,"[(30.66647581, 104.0834323), (30.66808938, 104.0845712)]"
54,54,5297,"[(30.66959784, 104.0854869), (30.66808938, 104.0845712)]"
55,55,5298,"[(30.66967255, 104.0811962), (30.66808938, 104.0845712)]"
56,56,5328,"[(30.65916798, 104.078706), (30.65990178, 104.0773122)]"
57,57,5329,"[(30.66106452, 104.0746648), (30.65990178, 104.0773122)]"
58,58,5350,"[(30.66741927, 104.07744), (30.66658936, 104.0792781)]"
59,59,5408,"[(30.67124474, 104.0778208), (30.67271422, 104.0744083)]"
60,60,5410,"[(30.67410729, 104.0753428), (30.67271422, 104.0744083)]"
61,61,5447,"[(30.66974975, 104.0766779), (30.67124474, 104.0778208)]"
62,62,5448,"[(30.67260603, 104.0787652), (30.67124474, 104.0778208)]"
63,63,5452,"[(30.66310274, 104.0744995), (30.66566031, 104.0761884)]"
64,64,5453,"[(30.66612382, 104.0765093), (30.66566031, 104.0761884)]"
65,65,5458,"[(30.66231551, 104.0833203), (30.66323476, 104.0814139)]"
66,66,5459,"[(30.66503017, 104.0824686), (30.66323476, 104.0814139)]"
67,67,5515,"[(30.66695776, 104.0748457), (30.66829663, 104.0713876)]"
68,68,5517,"[(30.66972895, 104.0723581), (30.66829663, 104.0713876)]"
69,69,5578,"[(30.66162768, 104.0847123), (30.66231551, 104.0833203)]"
70,70,5579,"[(30.66419702, 104.0844988), (30.66231551, 104.0833203)]"
71,71,5586,"[(30.66106452, 104.0746648), (30.66161953, 104.0734954)]"
72,72,5587,"[(30.66243375, 104.0719509), (30.66161953, 104.0734954)]"
73,73,5588,"[(30.66310274, 104.0744995), (30.66161953, 104.0734954)]"
74,74,5627,"[(30.66503017, 104.0824686), (30.66419702, 104.0844988)]"
75,75,5628,"[(30.66570422, 104.0852545), (30.66419702, 104.0844988)]"
76,76,5629,"[(30.6612243, 104.0854998), (30.66062918, 104.0867086)]"
77,77,5630,"[(30.66262974, 104.0880259), (30.66062918, 104.0867086)]"
78,78,5652,"[(30.6612243, 104.0854998), (30.66162768, 104.0847123)]"
79,79,5692,"[(30.66501226, 104.0867203), (30.66570422, 104.0852545)]"
80,80,5693,"[(30.66647581, 104.0834323), (30.66570422, 104.0852545)]"
81,81,5716,"[(30.66451347, 104.0732972), (30.66695776, 104.0748457)]"
82,82,5717,"[(30.66612382, 104.0765093), (30.66695776, 104.0748457)]"
83,83,5776,"[(30.66647581, 104.0834323), (30.66503017, 104.0824686)]"
84,84,5804,"[(30.66741927, 104.07744), (30.66612382, 104.0765093)]"
85,85,5817,"[(30.65811967, 104.0811576), (30.65916798, 104.078706)]"
86,86,5828,"[(30.65950096, 104.0821018), (30.65886582, 104.083667)]"
87,87,5831,"[(30.67260603, 104.0787652), (30.67410729, 104.0753428)]"
88,88,5837,"[(30.66501226, 104.0867203), (30.66368435, 104.0896351)]"
89,89,5840,"[(30.66401786, 104.0861632), (30.66262974, 104.0880259)]"
90,90,5851,"[(30.67260603, 104.0787652), (30.67192313, 104.0803937)]"
91,91,5870,"[(30.66741927, 104.07744), (30.66903116, 104.0784525)]"
92,92,5871,"[(30.66974975, 104.0766779), (30.66903116, 104.0784525)]"
93,93,5896,"[(30.66647581, 104.0834323), (30.66728632, 104.0819461)]"
94,94,5897,"[(30.66501226, 104.0867203), (30.66401786, 104.0861632)]"
95,95,5926,"[(30.65811967, 104.0811576), (30.65950096, 104.0821018)]"
