,x_input
88,"[37.0, 36.0, 42.0, 47.00000381, 47.00000381, 43.0, 39.0, 34.0, 46.0, 56.0, 38.0, 48.0, 36.0, 57.00000381, 40.0, 39.0]"
89,"[35.0, 36.0, 39.0, 37.0, 43.0, 34.0, 45.0, 29.0, 49.0, 33.0, 19.0, 36.0, 27.0, 36.0, 27.0, 26.00000191]"
90,"[29.99999809, 31.00000191, 32.0, 29.99999809, 36.0, 26.00000191, 43.0, 37.0, 44.0, 28.0, 24.0, 34.0, 33.0, 28.0, 25.0, 21.0]"
91,"[26.00000191, 23.0, 26.00000191, 29.99999809, 25.0, 16.0, 35.0, 26.00000191, 35.0, 29.99999809, 25.0, 32.0, 28.0, 36.0, 24.0, 18.0]"
92,"[21.0, 21.0, 21.0, 19.0, 12.0, 11.0, 26.00000191, 21.0, 32.0, 29.0, 20.0, 28.0, 22.0, 39.0, 14.99999905, 14.99999905]"
93,"[14.0, 18.0, 14.0, 11.0, 11.0, 10.0, 21.0, 20.0, 21.0, 21.0, 13.00000095, 20.0, 12.0, 32.0, 13.00000095, 11.0]"
94,"[12.0, 12.0, 13.00000095, 9.0, 9.0, 9.0, 17.0, 14.0, 16.0, 17.0, 13.00000095, 13.00000095, 12.0, 21.0, 12.0, 11.0]"
95,"[14.0, 14.0, 11.0, 9.0, 8.0, 9.0, 14.0, 16.0, 16.0, 14.0, 13.00000095, 14.0, 13.00000095, 20.0, 14.0, 11.0]"
96,"[13.00000095, 10.0, 9.0, 9.0, 10.0, 8.0, 16.0, 88.0, 12.0, 13.00000095, 11.0, 17.0, 12.0, 18.0, 12.0, 13.00000095]"
97,"[14.0, 13.00000095, 10.0, 14.0, 12.0, 13.00000095, 8.0, 14.0, 13.00000095, 13.00000095, 11.0, 14.0, 11.0, 14.99999905, 12.0, 13.00000095]"
98,"[13.00000095, 14.0, 11.0, 17.0, 16.0, 17.0, 11.0, 88.0, 13.00000095, 17.0, 14.99999905, 14.0, 12.0, 17.0, 16.0, 19.0]"
99,"[16.0, 21.0, 14.99999905, 17.0, 24.0, 23.0, 14.99999905, 17.0, 14.0, 17.0, 18.0, 21.0, 17.0, 19.0, 22.0, 21.0]"
100,"[16.0, 19.0, 14.0, 14.0, 20.0, 25.0, 21.0, 27.0, 22.0, 20.0, 21.0, 20.0, 21.0, 22.0, 20.0, 21.0]"
